char,minx,maxx,miny,maxy,text_id,page
f,218.19000000000003,220.97000000000003,686.5379999999999,696.5379999999999,2,0
 ,220.97000000000003,223.75000000000003,686.5379999999999,696.5379999999999,2,0
f,223.75000000000003,226.53000000000003,686.5379999999999,696.5379999999999,2,0
i,226.53000000000003,228.75000000000003,686.5379999999999,696.5379999999999,2,0
l,228.75000000000003,230.97000000000003,686.5379999999999,696.5379999999999,2,0
e,230.97000000000003,236.53000000000003,686.5379999999999,696.5379999999999,2,0
 ,236.53000000000003,239.31000000000003,686.5379999999999,696.5379999999999,2,0
-,239.31000000000003,242.64000000000004,686.5379999999999,696.5379999999999,2,0
 ,242.64000000000004,245.42000000000004,686.5379999999999,696.5379999999999,2,0
 ,69.25,72.03,662.6339999999999,672.6339999999999,3,0
j,72.03,74.25,662.6339999999999,672.6339999999999,3,0
u,74.25,79.81,662.6339999999999,672.6339999999999,3,0
s,79.81,84.81,662.6339999999999,672.6339999999999,3,0
t,84.81,87.59,662.6339999999999,672.6339999999999,3,0
 ,87.59,90.37,662.6339999999999,672.6339999999999,3,0
f,90.37,93.15,662.6339999999999,672.6339999999999,3,0
o,93.15,98.71000000000001,662.6339999999999,672.6339999999999,3,0
r,98.71000000000001,102.04,662.6339999999999,672.6339999999999,3,0
 ,102.03999999999999,104.82,662.6339999999999,672.6339999999999,3,0
u,104.82,110.38,662.6339999999999,672.6339999999999,3,0
s,110.38,115.38,662.6339999999999,672.6339999999999,3,0
e,115.38,120.94,662.6339999999999,672.6339999999999,3,0
 ,120.94,123.72,662.6339999999999,672.6339999999999,3,0
i,123.72,125.94,662.6339999999999,672.6339999999999,3,0
n,125.94,131.5,662.6339999999999,672.6339999999999,3,0
 ,131.5,134.28,662.6339999999999,672.6339999999999,3,0
t,134.28,137.06,662.6339999999999,672.6339999999999,3,0
h,137.06,142.62,662.6339999999999,672.6339999999999,3,0
e,142.62,148.18,662.6339999999999,672.6339999999999,3,0
 ,148.18,150.96,662.6339999999999,672.6339999999999,3,0
V,150.96,157.63,662.6339999999999,672.6339999999999,3,0
i,157.63,159.85,662.6339999999999,672.6339999999999,3,0
r,159.85000000000002,163.18000000000004,662.6339999999999,672.6339999999999,3,0
